chunk,document_id,part_id,cluster
"Оферта – условия настоящей оферты об оказании Исполнителем услуг Вайлдберриз по выдаче Отправлений Клиентам и приёму возвратов Товара от Клиентов, включая условия, изложенные в Правилах оказания услуг в ПВЗ, являющихся неотъемлемой частью Оферты, принятие которой Исполнителем влечет заключение договора на указанных в Оферте условиях",1,1.0,0
"Исполнитель – коммерческая организация или индивидуальный предприниматель, принявшая(-ий) Оферту",1,1.0,0
"Заказчик или Вайлдберриз - одно из перечисленных в настоящем пункте юридических лиц, в зависимости от того на территории какого из государств осуществляет деятельность ПВЗ Исполнителя, являющееся владельцем агрегатора информации о Товарах, владеющее сайтом в сети интернет, на котором размещаются адресованные покупателям предложения о заключении договора купли-продажи Товаров, принадлежащих Вайлдберриз или третьим лицам (продавцам): - Общество с ограниченной ответственностью «Вайлдберриз» (ОГРН 1067746062449, ИНН 7721546864), зарегистрированное и действующее по законодательству Российской Федерации, адрес юридического лица: 142181, Московская область, г. Подольск, деревня Коледино, Территория Индустриальный парк Коледино, д. 6, стр. 1 – если ПВЗ находится на территории Российской Федерации; - Товарищество с ограниченной ответственностью «ИМВБКЗ» (БИН 220240020422), зарегистрированное и действующее по законодательству Республики Казахстан, адрес юридического лица: 050046, Республика Казахстан, г. Алматы, Ауэзовский р-н., МКР-10А, дом 22, НП 131 – если ПВЗ находится на территории Республики Казахстан; - Общество с ограниченной ответственностью «Вайлдберриз», (ИНН 02681198) зарегистрированное и действующее по законодательству Республики Армения, адрес юридического лица: Республика Армения, г. Ереван, М. Хоренаци 3 дом, кв.1 – если ПВЗ находится на территории Республики Армения; - Общество с ограниченной ответственностью «ИМВБРБ», (ИНН 193630204) зарегистрированное и действующее по законодательству Республики Беларусь, адрес юридического лица: Республика Беларусь, г. Минск, ул. Скрыганова, д. 6А, пом. 8, офис 35 - если ПВЗ находится на территории Республики Беларусь. - Общество с ограниченной ответственностью «ВБ КейДжи», (ИНН 01506202210353) зарегистрированное и действующее по законодательству Республики Киргизии, адрес юридического лица: Республика Киргизия, г. Бишкек, ул. Юнусалиева, д. 49/1 - если ПВЗ находится на территории Республики Киргизии; - Общество с ограниченной ответственностью «WB INT EXPORT», (ИНН 309278905) зарегистрированное и действующее по законодательству Республики Узбекистан, адрес юридического лица: Республика Узбекистан, г. Ташкент, Мирабадский район, ул. Саракул, Истиклолабад МСГ, 9-Дом – если ПВЗ находится на территории Республики Узбекистан; - Общество с ограниченной ответственностью «VVILDBERRIES» (ИНН 1308360581) зарегистрированное и действующее по законодательству Азербайджанской Республики, адрес юридического лица: АZ1012, г. Баку, Ясамальский р-н, Дадаш Буньядзаде, д",1,1.0,0
"Договор – договор об оказании услуг, заключенный на условиях Оферты в порядке, предусмотренном пунктом 2.2 Оферты",1,1.0,0
"Пункт выдачи заказов (ПВЗ) – нежилое помещение, находящееся у Исполнителя в собственности, аренде или во владении на ином законном основании, в котором Исполнитель осуществляет выдачу Отправлений Клиентам и получение от Клиентов возвратов Товаров, адрес которого указан Исполнителем при заполнении сведений на Портале. ПВЗ является местом приемки, хранения и выдачи товаров, поступающих Исполнителю от Заказчика для выдачи Клиентам;",1,1.0,1
"Продавец – Вайлдберриз или иное лицо (коммерческая организация, индивидуальный предприниматель, или гражданин, признанный в установленном законом порядке самозанятым), с которым Клиент заключил договор розничной купли-продажи Товара;",1,1.0,0
"Клиент – физическое лицо, заключившее с Продавцом договор розничной купли-продажи Товара;",1,1.0,0
"Отправление – Товар или несколько Товаров, предназначенных для выдачи одному Клиенту и/или Продавцу, упакованные в одну упаковку (пакет,тару или иную упаковку), имеющую маркировку, содержащую номер Заказа и сведения о Клиенте (имя и фамилию Клиента) и/или Продавце;",1,1.0,0
"Товар – товар, предназначенный для передачи Заказчиком Продавцу, Продавцом Заказчику, либо приобретенный Клиентом у Продавца по договору розничной-купли продажи, заключенному дистанционным способом, упакованный в индивидуальную упаковку, имеющую маркировку, содержащую штрих-код для идентификации такого Товара в Торговой системе (ТС);",1,1.0,0
"Заказ – совокупность сведений в электронной форме, формируемых при оставлении Продавцом заявки о доставке Отправлений, заключении Клиентом с Продавцом договора розничной купли-продажи Товара (или нескольких Товаров), и содержащие в том числе сведения о наименованиях и количестве Отправлений/Товаров, а также данные о Продавце, оформившем заказ, либо о Клиенте, заключившим договор розничной купли-продажи",1,1.0,0
